                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.88704,                0.42174,                0.95925,                0.99751,                0.92146,                0.98292,                0.76051,                0.91417,                0.36982,                 1.0539,              0.0080596,              0.0080596,              0.0080596
                    101,                 0.8743,                0.41713,                0.95726,                0.99331,                0.92396,                0.98271,                0.75835,                0.91868,                0.37266,                  1.052,              0.0080398,              0.0080398,              0.0080398
                    102,                0.87641,                0.41838,                0.95699,                0.98379,                0.93779,                0.98104,                0.75596,                 0.9181,                0.37362,                 1.0571,                0.00802,                0.00802,                0.00802
                    103,                0.87248,                  0.422,                0.95633,                0.98292,                0.92792,                0.98265,                0.75672,                0.91985,                0.36857,                 1.0551,              0.0080002,              0.0080002,              0.0080002
                    104,                0.86908,                0.41721,                0.95465,                0.99828,                0.92396,                0.98444,                0.75483,                0.91462,                0.36156,                 1.0523,              0.0079804,              0.0079804,              0.0079804
                    105,                0.85548,                0.40978,                 0.9473,                      1,                0.92818,                0.98661,                 0.7639,                0.89438,                0.35171,                 1.0544,              0.0079606,              0.0079606,              0.0079606
                    106,                0.86002,                0.40812,                0.95228,                0.99017,                0.92819,                0.98347,                0.76508,                0.89156,                0.35578,                 1.0483,              0.0079408,              0.0079408,              0.0079408
                    107,                0.86887,                0.41933,                0.94761,                0.99318,                0.92396,                0.98258,                 0.7624,                0.90397,                0.35894,                 1.0535,               0.007921,               0.007921,               0.007921
                    108,                0.85066,                0.40819,                  0.943,                0.99505,                0.92677,                0.98168,                 0.7577,                0.91565,                0.36456,                 1.0628,              0.0079012,              0.0079012,              0.0079012
                    109,                 0.8573,                0.41401,                0.94945,                0.99565,                0.92627,                0.98308,                0.75988,                0.90084,                0.35213,                   1.06,              0.0078814,              0.0078814,              0.0078814
                    110,                0.86947,                0.41516,                 0.9541,                0.99324,                0.92627,                0.98444,                0.76108,                0.89901,                 0.3535,                 1.0638,              0.0078616,              0.0078616,              0.0078616
                    111,                0.85481,                0.40684,                 0.9538,                0.98872,                0.93088,                0.98454,                0.76011,                0.90357,                0.34879,                 1.0657,              0.0078418,              0.0078418,              0.0078418
                    112,                0.85226,                0.40814,                0.95008,                0.99753,                0.93026,                0.98548,                0.76219,                0.90952,                0.35293,                  1.067,               0.007822,               0.007822,               0.007822
                    113,                0.84913,                  0.409,                0.94465,                0.99752,                0.92535,                0.98372,                0.76314,                0.89795,                0.35307,                 1.0611,              0.0078022,              0.0078022,              0.0078022
                    114,                0.85398,                0.40839,                0.94974,                0.98399,                0.94009,                0.98468,                0.75296,                0.90246,                0.35582,                 1.0601,              0.0077824,              0.0077824,              0.0077824
                    115,                0.83725,                0.40677,                0.94191,                0.99503,                0.92176,                0.98156,                0.75668,                0.89809,                0.36591,                 1.0538,              0.0077626,              0.0077626,              0.0077626
                    116,                0.84765,                0.40089,                0.94553,                0.99259,                0.92635,                0.98417,                0.75906,                0.88828,                0.35853,                 1.0509,              0.0077428,              0.0077428,              0.0077428
                    117,                 0.8536,                0.40973,                0.94573,                0.98315,                0.94119,                0.98554,                0.75448,                0.89384,                0.35902,                 1.0548,               0.007723,               0.007723,               0.007723
                    118,                0.85102,                0.40698,                0.93757,                0.98476,                0.93779,                0.98412,                0.76276,                0.89366,                0.35614,                 1.0568,              0.0077032,              0.0077032,              0.0077032
                    119,                0.84205,                0.40157,                0.94707,                0.99264,                0.93274,                0.98581,                0.76074,                 0.9002,                 0.3521,                 1.0544,              0.0076834,              0.0076834,              0.0076834
                    120,                0.84575,                0.40188,                0.94747,                0.99751,                0.92465,                0.98516,                0.76435,                0.89281,                0.34503,                 1.0495,              0.0076636,              0.0076636,              0.0076636
                    121,                0.82888,                0.39606,                0.93947,                 0.9926,                0.92768,                0.98378,                0.76224,                0.88974,                0.34953,                 1.0483,              0.0076438,              0.0076438,              0.0076438
                    122,                0.82658,                0.39902,                0.94334,                0.99538,                0.92396,                0.98401,                0.76061,                0.90291,                0.35291,                 1.0587,               0.007624,               0.007624,               0.007624
                    123,                0.82964,                0.40068,                0.94231,                0.99751,                0.92283,                0.98291,                0.76357,                0.89463,                0.34937,                 1.0489,              0.0076042,              0.0076042,              0.0076042
                    124,                0.83209,                0.39879,                0.94417,                0.99751,                0.92437,                 0.9841,                0.76043,                0.90013,                0.35292,                 1.0527,              0.0075844,              0.0075844,              0.0075844
                    125,                0.83267,                0.39864,                0.93584,                      1,                0.92708,                0.98581,                0.76037,                0.90085,                0.34825,                 1.0622,              0.0075646,              0.0075646,              0.0075646
                    126,                 0.8182,                0.39119,                0.93408,                0.99754,                0.93309,                0.98621,                0.76019,                0.89379,                0.34753,                 1.0589,              0.0075448,              0.0075448,              0.0075448
                    127,                0.82484,                0.39904,                0.93709,                0.99522,                0.92627,                0.98741,                0.76303,                0.89035,                0.34749,                  1.055,               0.007525,               0.007525,               0.007525
                    128,                0.82378,                0.39444,                0.93671,                      1,                0.92772,                0.98691,                0.76014,                0.89562,                0.34537,                 1.0559,              0.0075052,              0.0075052,              0.0075052
                    129,                0.81498,                0.39294,                0.93687,                      1,                0.92625,                0.98685,                0.76543,                0.89436,                0.34608,                 1.0569,              0.0074854,              0.0074854,              0.0074854
                    130,                0.81465,                0.38976,                0.93571,                0.97328,                0.94931,                0.98688,                0.76173,                0.89965,                0.34937,                 1.0542,              0.0074656,              0.0074656,              0.0074656
                    131,                0.81174,                0.39217,                0.93072,                0.99841,                0.92627,                0.98915,                  0.767,                0.89577,                0.34561,                 1.0491,              0.0074458,              0.0074458,              0.0074458
                    132,                0.81385,                0.39274,                0.93549,                0.99752,                0.92777,                0.98735,                0.76511,                0.89207,                0.34674,                 1.0518,               0.007426,               0.007426,               0.007426
                    133,                0.82228,                0.39399,                0.94014,                0.99261,                0.92822,                0.98756,                0.76582,                0.90122,                0.34829,                 1.0556,              0.0074062,              0.0074062,              0.0074062
                    134,                0.80776,                0.39061,                0.92913,                0.99419,                0.92396,                0.98491,                0.76244,                0.89332,                0.34587,                 1.0549,              0.0073864,              0.0073864,              0.0073864
